"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IFNG",0,1.18714312375027,0.14,0.012,0,"T cells","IFNG"
"JUNB",0,1.18558695357079,0.82,0.732,0,"T cells","JUNB"
"CREM",0,1.16404613886169,0.388,0.236,0,"T cells","CREM"
"RGCC",0,1.14699450890127,0.445,0.204,0,"T cells","RGCC"
"SH2D1A",0,1.13605385478041,0.274,0.015,0,"T cells","SH2D1A"
"PRKCH",0,1.13360012135794,0.329,0.058,0,"T cells","PRKCH"
"TNFRSF1B",0,1.11741438285976,0.36,0.131,0,"T cells","TNFRSF1B"
"ITK",0,1.10720095015454,0.278,0.012,0,"T cells","ITK"
"ICOS",0,1.06575758074179,0.21,0.011,0,"T cells","ICOS"
"CD5",0,1.0437199828154,0.26,0.011,0,"T cells","CD5"
"PDCD1",0,1.04078368659594,0.201,0.013,0,"T cells","PDCD1"
"PTPN22",0,1.02766940439704,0.262,0.036,0,"T cells","PTPN22"
"ITGA4",0,1.00375754994522,0.31,0.086,0,"T cells","ITGA4"
"ETS1",0,0.993025106198067,0.332,0.129,0,"T cells","ETS1"
"FCMR",0,0.974279459341839,0.303,0.067,0,"T cells","FCMR"
"PYHIN1",0,0.905148357832944,0.209,0.014,0,"T cells","PYHIN1"
"NR4A2",0,0.872849300170399,0.412,0.248,0,"T cells","NR4A2"
"TCF7",0,0.832793439010679,0.206,0.045,0,"T cells","TCF7"
"CD28",0,0.658837041167684,0.157,0.011,0,"T cells","CD28"
"LEF1",0,0.641003974940828,0.154,0.022,0,"T cells","LEF1"
"BIRC3",0,0.618253893935814,0.331,0.225,0,"T cells","BIRC3"
"AQP3",0,0.5925276444629,0.199,0.073,0,"T cells","AQP3"
"GIMAP2",0,0.591192006156804,0.167,0.042,0,"T cells","GIMAP2"
"S1PR4",0,0.570805658185822,0.151,0.025,0,"T cells","S1PR4"
"TRAF1",0,0.569275579200952,0.165,0.052,0,"T cells","TRAF1"
"CLIC3",0,0.529915837878805,0.123,0.047,0,"T cells","CLIC3"
"IL21R",0,0.525903743047667,0.136,0.026,0,"T cells","IL21R"
"SLAMF6",0,0.489490581453258,0.118,0.012,0,"T cells","SLAMF6"
"MDFI",0,-0.251277630209075,0.007,0.107,0,"T cells","MDFI"
"LAMC2",0,-0.266023238140759,0.007,0.104,0,"T cells","LAMC2"
"P4HA1",0,-0.270416531350115,0.091,0.216,0,"T cells","P4HA1"
"RAI14",0,-0.283126653104351,0.007,0.106,0,"T cells","RAI14"
"ITGB4",0,-0.291338151041471,0.006,0.11,0,"T cells","ITGB4"
"VWA1",0,-0.291351905273613,0.004,0.107,0,"T cells","VWA1"
"MUC1",0,-0.3129916904002,0.01,0.113,0,"T cells","MUC1"
"SMTN",0,-0.315311401353831,0.012,0.132,0,"T cells","SMTN"
"RUNX1",0,-0.321092113234067,0.122,0.301,0,"T cells","RUNX1"
"RALGPS2",0,-0.331235043703172,0.015,0.106,0,"T cells","RALGPS2"
"EGFR",0,-0.33136796443709,0.008,0.127,0,"T cells","EGFR"
"SELENBP1",0,-0.341352815752993,0.008,0.113,0,"T cells","SELENBP1"
"CDKN1C",0,-0.36541890918963,0.01,0.114,0,"T cells","CDKN1C"
"EHF",0,-0.381245210333386,0.013,0.142,0,"T cells","EHF"
"ITGA2",0,-0.398114460006666,0.027,0.167,0,"T cells","ITGA2"
"LAMC1",0,-0.418133519122091,0.007,0.134,0,"T cells","LAMC1"
"EHD2",0,-0.423105524870865,0.005,0.148,0,"T cells","EHD2"
"CKAP4",0,-0.428452239028997,0.02,0.19,0,"T cells","CKAP4"
"IRX3",0,-0.440787075502204,0.013,0.178,0,"T cells","IRX3"
"EFEMP1",0,-0.475874383521412,0.006,0.109,0,"T cells","EFEMP1"
"SDC1",0,-0.478645294938079,0.011,0.14,0,"T cells","SDC1"
"SNCG",0,-0.479472536967854,0.006,0.124,0,"T cells","SNCG"
"ENG",0,-0.47983523065184,0.042,0.146,0,"T cells","ENG"
"SSPN",0,-0.486822670262378,0.006,0.15,0,"T cells","SSPN"
"PBX1",0,-0.492055638677672,0.012,0.168,0,"T cells","PBX1"
"SWAP70",0,-0.492452657439697,0.025,0.213,0,"T cells","SWAP70"
"SPHK1",0,-0.54096671789687,0.018,0.2,0,"T cells","SPHK1"
"EPAS1",0,-0.567265231938605,0.02,0.16,0,"T cells","EPAS1"
"HMGA1",0,-0.573263284999439,0.223,0.415,0,"T cells","HMGA1"
"MAFF",0,-0.574106419051601,0.082,0.271,0,"T cells","MAFF"
"SGK1",0,-0.606078919025801,0.067,0.22,0,"T cells","SGK1"
"HSPG2",0,-0.607852891105413,0.008,0.132,0,"T cells","HSPG2"
"PRRX1",0,-0.628188625711413,0.007,0.126,0,"T cells","PRRX1"
"HBEGF",0,-0.642222096295252,0.012,0.128,0,"T cells","HBEGF"
"NR4A1",0,-0.642355705849396,0.118,0.283,0,"T cells","NR4A1"
"SLC9A3R2",0,-0.654588654114693,0.008,0.143,0,"T cells","SLC9A3R2"
"LAMB3",0,-0.676475825614269,0.016,0.202,0,"T cells","LAMB3"
"MGLL",0,-0.703748060113628,0.017,0.187,0,"T cells","MGLL"
"CLIC4",0,-0.731874512928103,0.021,0.293,0,"T cells","CLIC4"
"PALLD",0,-0.742972680210148,0.022,0.254,0,"T cells","PALLD"
"SRPX",0,-0.753750721068776,0.003,0.108,0,"T cells","SRPX"
"KRT16",0,-0.758843730045301,0.021,0.136,0,"T cells","KRT16"
"FSTL1",0,-0.77151219759641,0.009,0.161,0,"T cells","FSTL1"
"STMN1",0,-0.775687078787649,0.158,0.33,0,"T cells","STMN1"
"SERPINH1",0,-0.775843836701193,0.041,0.252,0,"T cells","SERPINH1"
"VEGFA",0,-0.780888105203627,0.024,0.229,0,"T cells","VEGFA"
"MMP14",0,-0.7870562472691,0.012,0.21,0,"T cells","MMP14"
"RNASE1",0,-0.827352909987511,0.452,0.746,0,"T cells","RNASE1"
"CD81",0,-0.870903249547921,0.107,0.39,0,"T cells","CD81"
"DEFB1",0,-0.879970632172083,0.012,0.129,0,"T cells","DEFB1"
"IGFBP6",0,-0.888930631826549,0.018,0.151,0,"T cells","IGFBP6"
"EPCAM",0,-0.899795463192931,0.036,0.289,0,"T cells","EPCAM"
"CEBPB",0,-0.939181369075252,0.194,0.462,0,"T cells","CEBPB"
"S100A10",0,-0.952850003855,0.675,0.741,0,"T cells","S100A10"
"TUBA1B",0,-0.97593548092535,0.459,0.721,0,"T cells","TUBA1B"
"KLF4",0,-0.992653070765024,0.017,0.253,0,"T cells","KLF4"
"ID3",0,-1.02058665890639,0.125,0.313,0,"T cells","ID3"
"ID1",0,-1.03408688942351,0.025,0.186,0,"T cells","ID1"
"CXCL3",0,-1.06437634509483,0.013,0.146,0,"T cells","CXCL3"
"MMP2",0,-1.07553167622257,0.013,0.125,0,"T cells","MMP2"
"EMP1",0,-1.0808225867936,0.029,0.316,0,"T cells","EMP1"
"GNG11",0,-1.09957652334228,0.009,0.156,0,"T cells","GNG11"
"IGFBP3",0,-1.1497723393659,0.031,0.14,0,"T cells","IGFBP3"
"RBP7",0,-1.18987116796972,0.008,0.119,0,"T cells","RBP7"
"RARRES2",0,-1.24342416680286,0.015,0.175,0,"T cells","RARRES2"
"C1S",0,-1.27331443115409,0.019,0.21,0,"T cells","C1S"
"EGR1",0,-1.27344737194098,0.117,0.365,0,"T cells","EGR1"
"IFI27",0,-1.28482515313907,0.115,0.295,0,"T cells","IFI27"
"BGN",0,-1.29716856668955,0.019,0.129,0,"T cells","BGN"
"AGR2",0,-1.32438357485615,0.02,0.143,0,"T cells","AGR2"
"S100A13",0,-1.35072610826682,0.038,0.484,0,"T cells","S100A13"
"ELF3",0,-1.37424735715877,0.053,0.361,0,"T cells","ELF3"
"MDK",0,-1.42876866712784,0.047,0.414,0,"T cells","MDK"
"CAV1",0,-1.44387252607122,0.023,0.296,0,"T cells","CAV1"
"NNMT",0,-1.46204179452978,0.035,0.326,0,"T cells","NNMT"
"KRT15",0,-1.47699608156939,0.06,0.263,0,"T cells","KRT15"
"CD9",0,-1.54197639666576,0.096,0.55,0,"T cells","CD9"
"TIMP3",0,-1.58086427882093,0.02,0.218,0,"T cells","TIMP3"
"COL6A2",0,-1.66081897441603,0.04,0.263,0,"T cells","COL6A2"
"CXCL14",0,-1.80276222755577,0.013,0.105,0,"T cells","CXCL14"
"SPARCL1",0,-2.06179675259234,0.022,0.249,0,"T cells","SPARCL1"
"TAGLN",0,-2.15950495374123,0.047,0.241,0,"T cells","TAGLN"
"LTF",0,-2.2117577772673,0.038,0.166,0,"T cells","LTF"
"FN1",0,-2.23131770897859,0.041,0.156,0,"T cells","FN1"
"KRT7",0,-2.27336446537003,0.103,0.477,0,"T cells","KRT7"
"TM4SF1",0,-2.283146550177,0.078,0.514,0,"T cells","TM4SF1"
"LUM",0,-2.31531223930353,0.03,0.137,0,"T cells","LUM"
"GSN",0,-2.36288747942222,0.054,0.55,0,"T cells","GSN"
"COL3A1",0,-2.61931461767692,0.043,0.135,0,"T cells","COL3A1"
"IGFBP7",0,-2.7146852350401,0.055,0.282,0,"T cells","IGFBP7"
"KRT17",0,-2.81337721806279,0.068,0.309,0,"T cells","KRT17"
"COL1A2",0,-2.85034364669973,0.055,0.159,0,"T cells","COL1A2"
"DCN",0,-2.90966333108488,0.047,0.173,0,"T cells","DCN"
"COL1A1",0,-3.29242545862825,0.059,0.157,0,"T cells","COL1A1"
"ICAM2",6.85556503036057e-301,0.36498709367402,0.17,0.084,3.81066582212592e-296,"T cells","ICAM2"
"FOSB",3.99904633994211e-296,-0.635323219613672,0.312,0.449,2.22286990805682e-291,"T cells","FOSB"
"FBLN7",4.04631254986815e-281,0.367469582328751,0.105,0.041,2.24914283084421e-276,"T cells","FBLN7"
"KLF6",2.23460730338743e-248,0.426850645853396,0.648,0.604,1.2421064695879e-243,"T cells","KLF6"
"COL6A3",1.30111872035698e-220,-1.07905847742294,0.077,0.153,7.23226840710428e-216,"T cells","COL6A3"
"PIP4K2A",9.06886271772228e-218,0.412668446978074,0.118,0.058,5.04092734164593e-213,"T cells","PIP4K2A"
"HLA-DRA",2.01386982645995e-204,-2.0673173349455,0.293,0.361,1.11940954303776e-199,"T cells","HLA-DRA"
"GEM",7.4336632334426e-202,-0.295772490549447,0.062,0.14,4.13200170830907e-197,"T cells","GEM"
"CD82",2.85072194632349e-198,0.636600341855086,0.33,0.27,1.58457379386391e-193,"T cells","CD82"
"CD44",6.73112384245635e-198,0.348233676238105,0.602,0.573,3.74149518782936e-193,"T cells","CD44"
"CD4",4.66767996233862e-154,0.315560443284818,0.153,0.092,2.59452990706592e-149,"T cells","CD4"
"IFI16",3.02697750609963e-150,0.47153190893592,0.411,0.369,1.68254544676548e-145,"T cells","IFI16"
"FBLN5",4.99505842016377e-148,-0.468895478065923,0.054,0.112,2.77650322284803e-143,"T cells","FBLN5"
"STAT3",2.56096235634264e-142,0.5081347814155,0.45,0.448,1.42351092577305e-137,"T cells","STAT3"
"BCL2",1.17172056120458e-132,0.349781709757756,0.137,0.085,6.51300873945568e-128,"T cells","BCL2"
"PECAM1",2.42840982909802e-131,-0.354155741865014,0.055,0.11,1.34983160350413e-126,"T cells","PECAM1"
"SATB1",2.4105104697233e-130,0.352625167708805,0.126,0.077,1.3398822445957e-125,"T cells","SATB1"
"HMGB2",8.30478542797876e-125,0.386237727064067,0.363,0.323,4.61621498014199e-120,"T cells","HMGB2"
"ACTA2",7.59436837349732e-122,-1.21128099300553,0.108,0.173,4.22132966040849e-117,"T cells","ACTA2"
"SLC7A5",6.30014894496273e-114,0.432324700024366,0.162,0.114,3.50193779105753e-109,"T cells","SLC7A5"
"POLD4",2.4797143718976e-88,0.307984251251961,0.254,0.208,1.37834923361928e-83,"T cells","POLD4"
"HLA-DQA1",3.75657494348005e-21,-0.831909954585329,0.183,0.2,2.08809218233338e-16,"T cells","HLA-DQA1"
"IGLC2",6.98035586080367e-18,-1.45522011496051,0.089,0.111,3.88003080522772e-13,"T cells","IGLC2"
"IGHG1",2.40396984153525e-10,-2.29605030262915,0.121,0.105,1.33624663641737e-05,"T cells","IGHG1"
"KLF2",7.59907170850871e-10,0.298002245357976,0.164,0.157,4.22394400917457e-05,"T cells","KLF2"
"IGKC",0.00300428063668389,-2.44818079333284,0.235,0.223,1,"T cells","IGKC"
"LTF.1",0,2.99057365416431,0.313,0.068,0,"Epithelial cells","LTF"
"KRT7.1",0,2.36085038501759,0.8,0.224,0,"Epithelial cells","KRT7"
"AGR2.1",0,2.22992762983066,0.313,0.04,0,"Epithelial cells","AGR2"
"TM4SF1.1",0,2.2264727993598,0.814,0.242,0,"Epithelial cells","TM4SF1"
"ELF3.1",0,2.08527332677832,0.721,0.124,0,"Epithelial cells","ELF3"
"KRT15.1",0,1.57695590994532,0.416,0.132,0,"Epithelial cells","KRT15"
"DEFB1.1",0,1.55629842455754,0.258,0.041,0,"Epithelial cells","DEFB1"
"EPCAM.1",0,1.42049269194214,0.604,0.088,0,"Epithelial cells","EPCAM"
"CD9.1",0,1.18026685301877,0.785,0.29,0,"Epithelial cells","CD9"
"KRT16.1",0,1.15583877521834,0.22,0.063,0,"Epithelial cells","KRT16"
"HMGA1.1",0,0.980716248546727,0.561,0.29,0,"Epithelial cells","HMGA1"
"PIGR",0,0.916573671688472,0.187,0.02,0,"Epithelial cells","PIGR"
"MAFF.1",0,0.889273879589757,0.417,0.148,0,"Epithelial cells","MAFF"
"TSTD1",0,0.877697373700006,0.713,0.361,0,"Epithelial cells","TSTD1"
"EMP1.1",0,0.829220755683326,0.444,0.158,0,"Epithelial cells","EMP1"
"EHF.1",0,0.821657834877262,0.35,0.026,0,"Epithelial cells","EHF"
"MDK.1",0,0.761183422522118,0.537,0.225,0,"Epithelial cells","MDK"
"S100A13.1",0,0.747110077540829,0.644,0.25,0,"Epithelial cells","S100A13"
"GABRP",0,0.715665907698746,0.218,0.025,0,"Epithelial cells","GABRP"
"IRX3.1",0,0.694090998764475,0.334,0.062,0,"Epithelial cells","IRX3"
"MUC1.1",0,0.643350216554061,0.261,0.026,0,"Epithelial cells","MUC1"
"CXCL17",0,0.589492733977939,0.135,0.011,0,"Epithelial cells","CXCL17"
"LAMB3.1",0,0.589069077027898,0.3,0.095,0,"Epithelial cells","LAMB3"
"FOXA1",0,0.488246626207528,0.179,0.013,0,"Epithelial cells","FOXA1"
"PROM1",0,0.48304649238385,0.182,0.017,0,"Epithelial cells","PROM1"
"KRT17.1",0,0.480171394318526,0.42,0.175,0,"Epithelial cells","KRT17"
"PBX1.1",0,0.434701903023005,0.243,0.08,0,"Epithelial cells","PBX1"
"CEBPB.1",0,0.432419000962067,0.54,0.328,0,"Epithelial cells","CEBPB"
"RUNX1.1",0,0.428897363619132,0.389,0.2,0,"Epithelial cells","RUNX1"
"TSPAN1",0,0.399687833990538,0.126,0.019,0,"Epithelial cells","TSPAN1"
"OCLN",0,0.389809929199625,0.21,0.023,0,"Epithelial cells","OCLN"
"SELENBP1.1",0,0.370396772274035,0.196,0.044,0,"Epithelial cells","SELENBP1"
"CLDN1",0,0.334453997738159,0.113,0.021,0,"Epithelial cells","CLDN1"
"MGLL.1",0,0.320856279687866,0.221,0.106,0,"Epithelial cells","MGLL"
"RNASE1.1",0,0.309389800354804,0.801,0.608,0,"Epithelial cells","RNASE1"
"ITGA2.1",0,0.300199611546215,0.226,0.091,0,"Epithelial cells","ITGA2"
"CASZ1",0,0.270014842634314,0.147,0.023,0,"Epithelial cells","CASZ1"
"TGIF1",0,0.267942576364728,0.433,0.248,0,"Epithelial cells","TGIF1"
"RND1",0,0.267678226009271,0.107,0.018,0,"Epithelial cells","RND1"
"MDFI.1",0,0.259930251343137,0.157,0.05,0,"Epithelial cells","MDFI"
"SLC2A1",0,0.259117067437724,0.217,0.098,0,"Epithelial cells","SLC2A1"
"CXCL3.1",0,0.257657982138021,0.186,0.079,0,"Epithelial cells","CXCL3"
"CD46",0,0.257126294352644,0.397,0.221,0,"Epithelial cells","CD46"
"GIMAP2.1",0,-0.40322348555531,0.008,0.105,0,"Epithelial cells","GIMAP2"
"LAIR1",0,-0.408132657722488,0.004,0.101,0,"Epithelial cells","LAIR1"
"CD79B",0,-0.482510224889927,0.015,0.102,0,"Epithelial cells","CD79B"
"PRRX1.1",0,-0.527364862034958,0.018,0.11,0,"Epithelial cells","PRRX1"
"ICAM2.1",0,-0.542809219877118,0.018,0.14,0,"Epithelial cells","ICAM2"
"ENG.1",0,-0.559417598412281,0.035,0.137,0,"Epithelial cells","ENG"
"CD5.1",0,-0.572883892944444,0.002,0.117,0,"Epithelial cells","CD5"
"POLD4.1",0,-0.573630868892935,0.128,0.251,0,"Epithelial cells","POLD4"
"CD4.1",0,-0.5995736066606,0.008,0.142,0,"Epithelial cells","CD4"
"ITK.1",0,-0.60470101702183,0.003,0.125,0,"Epithelial cells","ITK"
"PECAM1.1",0,-0.633245004357133,0.007,0.119,0,"Epithelial cells","PECAM1"
"PRKCH.1",0,-0.635028170541711,0.059,0.17,0,"Epithelial cells","PRKCH"
"SH2D1A.1",0,-0.643777793619533,0.003,0.126,0,"Epithelial cells","SH2D1A"
"PTPN22.1",0,-0.646315262454277,0.006,0.139,0,"Epithelial cells","PTPN22"
"CXCR6.1",0,-0.754447858819039,0.002,0.109,0,"Epithelial cells","CXCR6"
"CD6.1",0,-0.770619712448885,0.004,0.156,0,"Epithelial cells","CD6"
"IL2RB.1",0,-0.77456353207651,0.004,0.138,0,"Epithelial cells","IL2RB"
"FCMR.1",0,-0.783814778052701,0.04,0.173,0,"Epithelial cells","FCMR"
"GZMM.1",0,-0.802967916424668,0.005,0.149,0,"Epithelial cells","GZMM"
"ETS1.1",0,-0.808188630869709,0.08,0.228,0,"Epithelial cells","ETS1"
"TGFBR2",0,-0.821361355315736,0.063,0.25,0,"Epithelial cells","TGFBR2"
"ZEB2",0,-0.841821531911959,0.007,0.195,0,"Epithelial cells","ZEB2"
"ITGA4.1",0,-0.848124067171912,0.006,0.203,0,"Epithelial cells","ITGA4"
"SKAP1.1",0,-0.869029224346637,0.035,0.199,0,"Epithelial cells","SKAP1"
"LAG3.1",0,-0.872316745010734,0.023,0.13,0,"Epithelial cells","LAG3"
"PRF1.1",0,-0.901225727502468,0.003,0.136,0,"Epithelial cells","PRF1"
"TNFRSF4.1",0,-0.943679380502994,0.005,0.111,0,"Epithelial cells","TNFRSF4"
"PTPRCAP.1",0,-0.956789669670025,0.002,0.163,0,"Epithelial cells","PTPRCAP"
"RHOH.1",0,-0.973531009656239,0.061,0.248,0,"Epithelial cells","RHOH"
"CLEC2D.1",0,-1.00091694078459,0.032,0.223,0,"Epithelial cells","CLEC2D"
"TBC1D10C.1",0,-1.08117610524281,0.004,0.232,0,"Epithelial cells","TBC1D10C"
"TNFRSF1B.1",0,-1.13600956369063,0.023,0.259,0,"Epithelial cells","TNFRSF1B"
"RGCC.1",0,-1.15042216999579,0.179,0.312,0,"Epithelial cells","RGCC"
"COL6A3.1",0,-1.17841622214599,0.039,0.156,0,"Epithelial cells","COL6A3"
"KLRB1.1",0,-1.18050543837305,0.008,0.121,0,"Epithelial cells","KLRB1"
"IFI16.1",0,-1.1971686546245,0.147,0.454,0,"Epithelial cells","IFI16"
"CD8B.1",0,-1.19775857288998,0.008,0.141,0,"Epithelial cells","CD8B"
"VIM",0,-1.20670418550115,0.466,0.858,0,"Epithelial cells","VIM"
"CD3G.1",0,-1.23923859803474,0.005,0.238,0,"Epithelial cells","CD3G"
"CREM.1",0,-1.24108143847008,0.162,0.322,0,"Epithelial cells","CREM"
"GIMAP7.1",0,-1.28460845210756,0.007,0.266,0,"Epithelial cells","GIMAP7"
"CD27.1",0,-1.30063862520442,0.006,0.232,0,"Epithelial cells","CD27"
"NR4A2.1",0,-1.4153429175386,0.156,0.344,0,"Epithelial cells","NR4A2"
"GZMK.1",0,-1.4299087988878,0.004,0.122,0,"Epithelial cells","GZMK"
"LCK.1",0,-1.44246715290267,0.01,0.283,0,"Epithelial cells","LCK"
"JUNB.1",0,-1.45026193216066,0.668,0.788,0,"Epithelial cells","JUNB"
"TRAC.1",0,-1.45979087359663,0.011,0.249,0,"Epithelial cells","TRAC"
"IFI27.1",0,-1.54658541973896,0.112,0.276,0,"Epithelial cells","IFI27"
"TRBC2.1",0,-1.6073241712673,0.012,0.289,0,"Epithelial cells","TRBC2"
"CD8A.1",0,-1.65588562718063,0.009,0.166,0,"Epithelial cells","CD8A"
"HLA-DQA1.1",0,-1.68804730445033,0.037,0.243,0,"Epithelial cells","HLA-DQA1"
"TNFAIP3.1",0,-1.68929670439359,0.122,0.375,0,"Epithelial cells","TNFAIP3"
"SPARCL1.1",0,-1.73153417720928,0.07,0.209,0,"Epithelial cells","SPARCL1"
"CCL4L2.1",0,-1.79384266902908,0.01,0.112,0,"Epithelial cells","CCL4L2"
"CST7.1",0,-1.81088511181429,0.009,0.263,0,"Epithelial cells","CST7"
"CD3D.1",0,-1.98125645751988,0.012,0.332,0,"Epithelial cells","CD3D"
"DUSP2.1",0,-2.04878914955045,0.087,0.369,0,"Epithelial cells","DUSP2"
"LUM.1",0,-2.24306247813779,0.024,0.127,0,"Epithelial cells","LUM"
"HLA-DRA.1",0,-2.24595432191539,0.194,0.384,0,"Epithelial cells","HLA-DRA"
"PTPRC.1",0,-2.4096732967919,0.018,0.489,0,"Epithelial cells","PTPRC"
"IGFBP7.1",0,-2.44593971687609,0.095,0.245,0,"Epithelial cells","IGFBP7"
"IL7R.1",0,-2.51561043077983,0.021,0.253,0,"Epithelial cells","IL7R"
"IFITM1.1",0,-2.53561578228232,0.146,0.547,0,"Epithelial cells","IFITM1"
"COL3A1.1",0,-2.57353620524269,0.023,0.131,0,"Epithelial cells","COL3A1"
"COL1A2.1",0,-2.82477148340825,0.028,0.155,0,"Epithelial cells","COL1A2"
"DCN.1",0,-2.84779862151547,0.045,0.16,0,"Epithelial cells","DCN"
"CCL4.1",0,-3.12807881893038,0.022,0.234,0,"Epithelial cells","CCL4"
"SRGN.1",0,-3.1460643863058,0.059,0.592,0,"Epithelial cells","SRGN"
"COL1A1.1",0,-3.23999639590217,0.044,0.15,0,"Epithelial cells","COL1A1"
"MMP2.1",5.36776361957261e-308,-0.972860055860385,0.021,0.111,2.98367140793943e-303,"Epithelial cells","MMP2"
"GNG11.1",8.57497015478946e-268,-0.899878223822273,0.04,0.13,4.76639716053972e-263,"Epithelial cells","GNG11"
"ACTA2.1",3.51122058475728e-252,-0.934794575108721,0.075,0.176,1.95171196203733e-247,"Epithelial cells","ACTA2"
"TIMP3.1",1.50873170516413e-250,-1.10018852432299,0.079,0.178,8.38628518315481e-246,"Epithelial cells","TIMP3"
"VEGFA.1",6.29110979998618e-249,0.298790865973068,0.25,0.138,3.49691338232232e-244,"Epithelial cells","VEGFA"
"IGKC.1",1.26064704454771e-238,-3.17090395999721,0.145,0.252,7.00730659711844e-234,"Epithelial cells","IGKC"
"FN1.1",1.36347232724309e-237,-1.88960619947408,0.052,0.14,7.5788609309807e-233,"Epithelial cells","FN1"
"IGFBP6.1",8.71420148590698e-226,-0.731147171593674,0.045,0.128,4.8437888959414e-221,"Epithelial cells","IGFBP6"
"TRAF1.1",1.12628630157702e-194,-0.374639002727918,0.034,0.104,6.26046240731585e-190,"Epithelial cells","TRAF1"
"RARRES2.1",6.11759397273379e-194,-0.967053298076053,0.064,0.142,3.40046460974408e-189,"Epithelial cells","RARRES2"
"BGN.1",7.01098683316486e-189,-0.731283272624392,0.038,0.111,3.89705703121469e-184,"Epithelial cells","BGN"
"IGHG1.1",1.5385238185913e-188,-2.89599271092321,0.053,0.128,8.55188464563976e-184,"Epithelial cells","IGHG1"
"KLF2.1",8.69717466512158e-181,-0.606116486840641,0.098,0.178,4.83432453760783e-176,"Epithelial cells","KLF2"
"RBP7.1",3.61600698766585e-172,-0.764108251430268,0.138,0.067,2.00995748409407e-167,"Epithelial cells","RBP7"
"TCF7.1",2.2368237546983e-168,-0.443204997354434,0.045,0.111,1.24333848404905e-163,"Epithelial cells","TCF7"
"HSPG2.1",2.0548205066262e-149,-0.461407637480188,0.045,0.107,1.14217197860817e-144,"Epithelial cells","HSPG2"
"ST6GAL1",1.04420737314667e-142,-0.28666435327549,0.043,0.102,5.80422668363577e-138,"Epithelial cells","ST6GAL1"
"PDE4DIP",1.07105828633871e-112,-0.302415900980448,0.084,0.144,5.95347748461371e-108,"Epithelial cells","PDE4DIP"
"ID3.1",1.41859267493712e-102,-0.817096992368619,0.208,0.267,7.88524738363797e-98,"Epithelial cells","ID3"
"S100A10.1",3.14853724943514e-101,0.565320419252206,0.741,0.714,1.75011443009852e-96,"Epithelial cells","S100A10"
"GEM.1",1.27586868008428e-92,-0.449529198561717,0.075,0.127,7.09191605824845e-88,"Epithelial cells","GEM"
"CAV1.1",6.96647825723239e-81,-0.664523060566129,0.168,0.222,3.87231693928263e-76,"Epithelial cells","CAV1"
"HMGB2.1",2.30505073393289e-67,-0.638709648363698,0.314,0.342,1.28126245045659e-62,"Epithelial cells","HMGB2"
