"","combinationPotential","lowCI","highCI","P","FDR"
"celastrol + QL.X.138",-0.265064351929105,-0.339433357412831,-0.187402122885867,2.88088541406826e-11,4.40892261004366e-09
"nilotinib + QL.X.138",-0.264659277261306,-0.339047856887263,-0.186981752645609,3.09477512240171e-11,4.67311043482658e-09
"QL.XII.47 + XMD.1150",-0.264497765500652,-0.338894142780978,-0.186814150151829,3.1843137998631e-11,4.74504655045389e-09
"linifanib + torin.2",-0.264088408524306,-0.338504531429776,-0.186389376262788,3.42273284519793e-11,5.03408434699566e-09
"GSK.461364 + torin.1",-0.263335303768003,-0.337787686559273,-0.185607984479048,3.90769907250462e-11,5.67367846104036e-09
"erlotinib + torin.2",-0.263101309970081,-0.337564941319021,-0.185365221760793,4.07159527546217e-11,5.83681221450748e-09
"ruxolitinib + torin.2",-0.262878947133646,-0.337353260188118,-0.185134534666955,4.23355204641707e-11,5.93165586937693e-09
"THZ.2.98.01 + torin.2",-0.262866893228105,-0.337341785104196,-0.185122029762607,4.24250883372654e-11,5.93165586937693e-09
"GSK.1904529A + torin.2",-0.262771783683942,-0.33725124188944,-0.185023362562677,4.31383269623478e-11,5.9578238152267e-09
"JW.7.24.1 + QL.XII.47",-0.262690684161572,-0.337174034969218,-0.184939230679772,4.37557357909077e-11,5.97028563653047e-09
"FR.180204 + torin.2",-0.261948628818682,-0.336467550156415,-0.184169482352656,4.98204733400492e-11,6.7168673878102e-09
"PF.431396 + torin.2",-0.26183866336462,-0.336362848775293,-0.184055421181227,5.07863242289927e-11,6.76653084580403e-09
"QL.XII.47 + SAR.245408",-0.261589813656798,-0.336125904761017,-0.183797310677895,5.30399801403401e-11,6.98462529173665e-09
"QL.X.138 + TNF_lig",-0.261368243840465,-0.335914927548128,-0.183567504298894,5.512849553495e-11,7.17620933256677e-09
"pazopanib + torin.2",-0.261121350248893,-0.335679828403404,-0.183311442784152,5.75502829133133e-11,7.40632902265084e-09
"KIN001.244 + torin.2",-0.260843264533333,-0.335415016101974,-0.183023043528321,6.04024265337897e-11,7.68603910668729e-09
"PI.103 + QL.XII.47",-0.26025579524221,-0.334855548782216,-0.182413830425231,6.68884906236568e-11,8.40843826713451e-09
"torin.2 + XMD.1527",-0.260197799038794,-0.334800314139545,-0.182353690868353,6.75644929191382e-11,8.40843826713451e-09
"torin.2 + XMD.1150",-0.259872978005258,-0.334490950383365,-0.182016876258402,7.147559786904e-11,8.79849071594432e-09
"KIN001.055 + QL.XII.47",-0.259277737117141,-0.333923993516581,-0.181399704319952,7.92238658747872e-11,9.6474223766878e-09
"torin.2 + WZ.4.145",-0.259166027018856,-0.333817585519851,-0.181283885212161,8.07666505055887e-11,9.73066294655098e-09
"QL.XII.47 + XMD.132",-0.258927803780393,-0.333590662727266,-0.181036906673218,8.41551755578941e-11,1.00321827704542e-08
"SU.11274 + torin.2",-0.258650775424969,-0.333326764710095,-0.180749709186854,8.82702477175694e-11,1.0413130785432e-08
"QL.XII.47 + ruxolitinib",-0.258525266776919,-0.33320720095523,-0.180619597751769,9.0198580968308e-11,1.05309167986195e-08
"HY.11007 + QL.XII.47",-0.258410860410289,-0.333098211514009,-0.180500998128318,9.1992090971329e-11,1.06307186760235e-08
"HY.11007 + torin.2",-0.258328386319743,-0.333019641177907,-0.180415502577672,9.33065351923895e-11,1.06737021318567e-08
"JWE.035 + torin.1",-0.258141286443818,-0.332841393473686,-0.180221552613252,9.63567473501921e-11,1.08672977852178e-08
"PF.477736 + QL.XII.47",-0.258089370061179,-0.332791932441211,-0.180167736545236,9.7220213083433e-11,1.08672977852178e-08
"torin.1 + XMD.16144",-0.258050142000162,-0.332754559372157,-0.180127073389806,9.78776489264646e-11,1.08672977852178e-08
"GW.5074 + QL.XII.47",-0.257989872472456,-0.332697139374858,-0.180064599518989,9.88961815918585e-11,1.08737791895903e-08
"rondual.kinase.inhibitor + torin.2",-0.25755667202506,-0.332284404251476,-0.17961557337013,1.06527452964892e-10,1.14565850845916e-08
"NVP.AEW541 + torin.2",-0.257530766701747,-0.332259721844607,-0.179588722701291,1.07001561683097e-10,1.14565850845916e-08
"KIN001.220 + QL.XII.47",-0.257518236984145,-0.332247783582519,-0.179575735786807,1.07231613153793e-10,1.14565850845916e-08
"NVP.AUY922 + torin.2",-0.257435710025592,-0.332169151646227,-0.179490198180714,1.08758942032482e-10,1.15111683973632e-08
"torin.1 + XMD.885",-0.257313426325955,-0.332052637456549,-0.179363455643698,1.1106112396927e-10,1.16459928606665e-08
"erlotinib + QL.XII.47",-0.256016098308059,-0.330816378658222,-0.178018982410059,1.38606234624506e-10,1.4401060615803e-08
"linifanib + QL.XII.47",-0.255937959394067,-0.330741909784908,-0.177938013205797,1.40462755984837e-10,1.44398787362657e-08
"MLN.8054 + torin.1",-0.255893497400382,-0.330699535673212,-0.177891941213945,1.41529937282604e-10,1.44398787362657e-08
"celastrol + WYE.125132",-0.255706080316416,-0.330520916155705,-0.177697741392158,1.46115877985019e-10,1.47746635551816e-08
"GSK.1059615 + torin.2",-0.255392467300312,-0.330222012495613,-0.177372792120216,1.54115689946112e-10,1.52838095742276e-08
"LDN.193189 + torin.2",-0.25528038712598,-0.330115185564825,-0.177256664679138,1.57076981430731e-10,1.52838095742276e-08
"torin.2 + Y.39983",-0.255251679798309,-0.330087823452951,-0.177226921066142,1.57844341248475e-10,1.52838095742276e-08
"KIN001.220 + torin.2",-0.255224769982868,-0.330062174508287,-0.17719903998191,1.5856697006668e-10,1.52838095742276e-08
"BMS.345541 + QL.XII.47",-0.255216681177834,-0.330054464686032,-0.177190659248262,1.58784814254896e-10,1.52838095742276e-08
"QL.XII.47 + SB.216763",-0.255199499075637,-0.330038087579482,-0.177172857073812,1.59248523599016e-10,1.52838095742276e-08
"SAR.245408 + torin.2",-0.254915492143319,-0.329767380079016,-0.176878608220953,1.67107266673093e-10,1.58391167285584e-08
"SGX523 + torin.2",-0.254867858069228,-0.329721975400408,-0.176829257722389,1.6846184844072e-10,1.58391167285584e-08
"AZD.8055 + torin.2",-0.254841001121794,-0.32969637527357,-0.176801433196962,1.69230297938681e-10,1.58391167285584e-08
"QL.XII.47 + Y.39983",-0.254655540154078,-0.329519590290522,-0.176609294012703,1.74630880126451e-10,1.62048246479644e-08
"KIN001.055 + torin.2",-0.25458157781262,-0.32944908649127,-0.176532670039229,1.76831181804286e-10,1.62048246479644e-08
"tivantinib + torin.1",-0.254561593706064,-0.329430036715319,-0.176511966940673,1.77430309611266e-10,1.62048246479644e-08
"QL.XII.47 + SGX523",-0.254397279941053,-0.329273402913169,-0.176341744081875,1.8243205705556e-10,1.65283443692338e-08
"PHA.665752 + torin.2",-0.253994795805585,-0.32888971332288,-0.175924805431386,1.95271403691894e-10,1.75511797365928e-08
"buparlisib + torin.2",-0.25385125916723,-0.328752873341776,-0.175776120700695,2.00059948302316e-10,1.78399914529428e-08
"AZD.6482 + torin.2",-0.253041109831632,-0.327980462296546,-0.174936981294113,2.2931046701167e-10,2.02886018664622e-08
"torin.2 + XMD.132",-0.252805265653474,-0.327755585354984,-0.17469271908089,2.38581858584415e-10,2.08994078420522e-08
"NVP.AUY922 + QL.XII.47",-0.252693079743128,-0.32764861333808,-0.174576532269942,2.43119266789476e-10,2.08994078420522e-08
"PF.04217903 + QL.XII.47",-0.252668548987991,-0.327625222405384,-0.174551126961152,2.44122568383714e-10,2.08994078420522e-08
"HG.5.88.01 + QL.XII.47",-0.252638414224138,-0.327596487728672,-0.174519917995732,2.45360595139768e-10,2.08994078420522e-08
"torin.2 + veliparib",-0.252636458107888,-0.327594622490478,-0.174517892156034,2.454411693592e-10,2.08994078420522e-08
"QL.XI.92 + torin.2",-0.252516817808589,-0.32748053937891,-0.174393988677047,2.50418576169393e-10,2.11641072770028e-08
"BI.2536 + torin.2",-0.252393952560877,-0.327363378840062,-0.174266747908877,2.5563246873842e-10,2.14447237663897e-08
"GSK.3.inhibitor.IX + torin.2",-0.252228898643771,-0.327205984849151,-0.174095820140106,2.62803428390216e-10,2.18841825479352e-08
"torin.2 + WYE.125132",-0.252128132222885,-0.327109892814577,-0.173991470011598,2.67277286936315e-10,2.20942720770348e-08
"FR.180204 + QL.XII.47",-0.252061888610415,-0.327046721288103,-0.173922871433971,2.70258720459782e-10,2.21788406464278e-08
"AKT.inhibitor.1.2 + torin.2",-0.251885150863814,-0.326878176577938,-0.173739854358444,2.78372593429646e-10,2.26443786760483e-08
"MK.1775 + torin.2",-0.251851791151548,-0.326846362787541,-0.173705310011992,2.79930509019581e-10,2.26443786760483e-08
"OSI.930 + torin.2",-0.251536116283181,-0.32654530818899,-0.1733784347572,2.95099427379002e-10,2.37021348586326e-08
"ABT.737 + torin.2",-0.251352347091682,-0.326370043135099,-0.17318815322347,3.04295604858705e-10,2.41990916092663e-08
"GSK.1904529A + QL.XII.47",-0.251327499128504,-0.326346344645044,-0.173162425155521,3.05560273741729e-10,2.41990916092663e-08
"QL.XII.47 + SU.11274",-0.250988403733143,-0.326022926463761,-0.172811329800161,3.23339159408932e-10,2.54292776410149e-08
"AZD.8055 + celastrol",-0.250780103786506,-0.325824248027119,-0.172595668352691,3.34755742667319e-10,2.61455778324647e-08
"NVP.BGJ398 + torin.2",-0.250165671811936,-0.325238158451302,-0.171959565483039,3.70766660419857e-10,2.875981115928e-08
"JW.7.24.1 + torin.2",-0.250092396754566,-0.325168259562078,-0.17188371038108,3.75305137328219e-10,2.89138141513067e-08
"OSI.027 + torin.2",-0.249746798594372,-0.324838573871495,-0.171525956070904,3.9745025689383e-10,3.04130010765042e-08
"torin.1 + ZG.10",-0.249646719457575,-0.324743099297796,-0.17142236057912,4.04097255566952e-10,3.07141034852062e-08
"linsitinib + torin.2",-0.249362289581203,-0.324471747462333,-0.171127946491307,4.23584841154802e-10,3.19806555071876e-08
"sirolimus + torin.2",-0.249190309955211,-0.32430766943494,-0.170949936721196,4.35808689540419e-10,3.26856517155315e-08
"celastrol + TNF_lig",-0.249128348651288,-0.324248553833607,-0.170885804111564,4.4029634893419e-10,3.28049746821033e-08
"olaparib + torin.2",-0.248823088780253,-0.323957305095256,-0.170569856718534,4.63070459286917e-10,3.4276293800159e-08
"HG.5.113.01 + torin.1",-0.24870498165315,-0.323844615149916,-0.170447618833352,4.72186202303339e-10,3.47240827343202e-08
"ponatinib + torin.2",-0.248564669963208,-0.323710736320344,-0.170302402918402,4.83242944387882e-10,3.51213629465226e-08
"GW.843682X + torin.1",-0.248557797122329,-0.32370417850082,-0.17029528994283,4.83790959793159e-10,3.51213629465226e-08
"MGCD.265 + torin.2",-0.248191051759431,-0.323354232689977,-0.169915742452178,5.13928070408141e-10,3.70715630405872e-08
"torin.1 + XMD.892",-0.247962239026172,-0.32313589079591,-0.169678954224317,5.33648246213321e-10,3.82504201795308e-08
"CP466722 + QL.X.138",-0.247896259753735,-0.3230729293546,-0.16961067685786,5.39470183094036e-10,3.84245271920752e-08
"GDC.0879 + QL.XII.47",-0.247643180605372,-0.322831419641243,-0.169348789794493,5.62380457571024e-10,3.9805991762449e-08
"torin.1 + XMD.1185H",-0.24759686823145,-0.322787223363304,-0.169300866807529,5.66674234476384e-10,3.98607807791618e-08
"TGX.221 + torin.2",-0.247389572776942,-0.322589395593694,-0.169086366742315,5.86287571423311e-10,4.09858441133888e-08
"HG.5.88.01 + torin.2",-0.247284365443489,-0.322488990820371,-0.168977505736499,5.96492998571646e-10,4.14434552688583e-08
"torin.2 + ZSTK.474",-0.247209557213923,-0.322417596447045,-0.168900100706135,6.03854588687119e-10,4.16991049809855e-08
"ponatinib + QL.XII.47",-0.247072311868372,-0.322286612036154,-0.168758093706247,6.17590975631936e-10,4.23891987820102e-08
"GSK.1070916 + torin.2",-0.246970118011304,-0.322189078244723,-0.16865235639927,6.28016241755558e-10,4.28450839631427e-08
"sunitinib + torin.2",-0.246762558216763,-0.321990978313751,-0.168437605264955,6.49720225802571e-10,4.40603686060726e-08
"amuvatinib + torin.2",-0.246573237884553,-0.321810280808231,-0.168241732020745,6.70152351035921e-10,4.51754486635822e-08
"SB.525334 + torin.2",-0.246345905455483,-0.321593295271201,-0.16800653914655,6.95514046416439e-10,4.6607672045362e-08
"torin.2 + TPCA.1",-0.245973661819883,-0.321237977003637,-0.167621443746131,7.39072387717486e-10,4.92352634758855e-08
"dovitinib + torin.2",-0.245868665958456,-0.321137751317133,-0.167512827210719,7.51831099375393e-10,4.97923228095107e-08
"GSK.461364 + TNF_lig",-0.245626477619486,-0.320906559655354,-0.167262294510727,7.82083691287453e-10,5.14947546734326e-08
"ABT.737 + QL.XII.47",-0.245433456526804,-0.320722296353135,-0.167062630313008,8.07039729800487e-10,5.28307799999452e-08
"AZD.8055 + TNF_lig",-0.245080932657725,-0.320385752556611,-0.166697990405733,8.54632714850572e-10,5.5624801699326e-08
"SAR.245409 + torin.2",-0.244850586752269,-0.320165838070005,-0.166459739227803,8.87194293611182e-10,5.71493737994605e-08
"PF.477736 + torin.1",-0.244832347289937,-0.320148424251107,-0.166440874193953,8.89823569993467e-10,5.71493737994605e-08
"GDC.0879 + torin.1",-0.244809032498956,-0.320126164773712,-0.16641675984294,8.93195511037925e-10,5.71493737994605e-08
"AZD.7762 + torin.2",-0.244642921221714,-0.319967569899724,-0.166244954640992,9.17582021782877e-10,5.83798673971409e-08
"NU.7441 + torin.2",-0.244485480297581,-0.319817249155554,-0.166082121385955,9.41292821762106e-10,5.94323250587636e-08
"QL.X.138 + torin.1",-0.244463698678796,-0.319796452299976,-0.166059594086271,9.44619736033328e-10,5.94323250587636e-08
"QL.XII.47 + ZG.10",-0.244152940535058,-0.319499735857828,-0.165738206232383,9.93348965330058e-10,6.21529117810105e-08
"pyrazolanthrone + torin.2",-0.243949821653084,-0.319305786979214,-0.165528148521299,1.02651182496815e-09,6.3874980317386e-08
"NVP.AEW541 + QL.XII.47",-0.243635204144852,-0.319005360727942,-0.165202797278687,1.08001494811296e-09,6.68369906414166e-08
"brivanib + torin.2",-0.243441971580143,-0.318820836676282,-0.16500298070381,1.11420986009825e-09,6.85784057913736e-08
"CP466722 + WYE.125132",-0.243106259737214,-0.318500240946944,-0.164655845466654,1.17613819959152e-09,7.18014553950597e-08
"palbociclib + QL.XII.47",-0.243089817787111,-0.318484538886265,-0.164638844539272,1.17925569125661e-09,7.18014553950597e-08
"nilotinib + WYE.125132",-0.242965630839231,-0.3183659390272,-0.164510437111071,1.20306325085582e-09,7.28593118499582e-08
"BX.912 + torin.1",-0.242724129784349,-0.318135296186958,-0.164260736281781,1.25070635041225e-09,7.53417522256318e-08
"TNF_lig + WYE.125132",-0.242661851272385,-0.318075816353414,-0.164196344835449,1.26328714934703e-09,7.55349630406996e-08
"GSK.2126458 + torin.2",-0.24264234297789,-0.318057184602632,-0.16417617481705,1.26725324306693e-09,7.55349630406996e-08
"QL.XII.47 + TGX.221",-0.242259261400904,-0.317691303785117,-0.163780112356995,1.34763370464155e-09,7.99055063092435e-08
"CHIR.99021 + QL.XII.47",-0.242206234790123,-0.317640656354115,-0.163725290910164,1.35914347801349e-09,8.01682285859519e-08
"KIN001.266 + torin.2",-0.242105891313291,-0.31754481387604,-0.163621552350222,1.38118582001083e-09,8.10462663814643e-08
"MLN.8054 + QL.X.138",-0.241961085842774,-0.317406501070642,-0.163471850501751,1.41360890069557e-09,8.25212412390586e-08
"masitinib + torin.2",-0.241870047135133,-0.317319542636033,-0.163377735308465,1.43437078282264e-09,8.33038416177764e-08
"SB.203580 + torin.2",-0.241718527427757,-0.317174811092447,-0.163221098438854,1.46958477476567e-09,8.49135080317408e-08
"lapatinib + torin.2",-0.241685484923532,-0.317143248443229,-0.163186940540325,1.47737491909559e-09,8.49303094353173e-08
"QL.XII.47 + sunitinib",-0.241524713314973,-0.31698967483189,-0.163020744554631,1.51585516435827e-09,8.67023219007948e-08
"BI.2536 + QL.XII.47",-0.241478242337031,-0.316945283695303,-0.162972706492326,1.52715822059866e-09,8.69098836596978e-08
"GSK.1070916 + QL.XII.47",-0.241266347365935,-0.316742868041814,-0.162753670762269,1.5797441399512e-09,8.94530119247364e-08
"KIN001.242 + torin.1",-0.240674912974305,-0.316177855640073,-0.162142346256138,1.73600595268727e-09,9.78122756924546e-08
"NVP.BGJ398 + QL.XII.47",-0.240485063962028,-0.315996476666056,-0.161946125345361,1.78927804162284e-09,9.98743236450693e-08
"GSK.690693 + torin.1",-0.240481680409595,-0.315993244019408,-0.161942628287158,1.79024173950985e-09,9.98743236450693e-08
"PD.173074 + torin.2",-0.240029923291827,-0.315561619437007,-0.161475734089778,1.92354403422075e-09,1.0678498131152e-07
"JNJ.38877605 + torin.2",-0.239775152367248,-0.315318188582609,-0.161212442032324,2.00292386353155e-09,1.10649330509731e-07
"BMS.345541 + torin.1",-0.239188476096227,-0.314757587962795,-0.160606186161102,2.19801296474908e-09,1.20298881328335e-07
"AZD.7762 + QL.XII.47",-0.239186097035923,-0.314755314535833,-0.160603727823287,2.19884047990864e-09,1.20298881328335e-07
"NU.7441 + QL.XII.47",-0.239148137807069,-0.314719040628347,-0.160564503809591,2.21208496597918e-09,1.20441645383241e-07
"torin.1 + XMD.1150",-0.238968227980063,-0.314547115471134,-0.160378602842007,2.27591960687656e-09,1.23324351903718e-07
"GW.843682X + TNF_lig",-0.238845362732351,-0.314429700319102,-0.160251649287519,2.32053881407356e-09,1.25143343187539e-07
"PF.431396 + QL.XII.47",-0.238665611509366,-0.314257918391106,-0.160065921577418,2.38735131131599e-09,1.2813627298888e-07
"QL.XII.47 + SAR.245409",-0.238488609422731,-0.314088758878791,-0.159883039846727,2.45496660058404e-09,1.31143852601954e-07
"PD.184352 + torin.2",-0.238172405874297,-0.313786553668671,-0.159556346098441,2.58041655501827e-09,1.37198204157662e-07
"doramapimod + torin.2",-0.238011740001752,-0.313632994608096,-0.159390356658093,2.64652308034341e-09,1.40055485443407e-07
"GSK.690693 + TNF_lig",-0.237946077937355,-0.31357023586723,-0.159322520199981,2.67401098112457e-09,1.4085197377319e-07
"GW.5074 + torin.1",-0.237903466323906,-0.313529508021674,-0.159278497903802,2.69199752773405e-09,1.41142925933278e-07
"amuvatinib + QL.XII.47",-0.23708316633101,-0.312745417491062,-0.158431102335386,3.06205999693893e-09,1.59805665738863e-07
"palbociclib + torin.2",-0.23699487675972,-0.312661019027155,-0.158339903350659,3.10471802871516e-09,1.61011624573709e-07
