Gene name	Gene Synonym
MT-CYB	COB
MT-CYB	CYTB
MT-CYB	MTCYB
MT-CYB	UQCR3
MT-TT	LIMM
MT-TT	MTTT
MT-TT	trnT
MT-TP	MTTP
MT-TP	trnP
5_8S_rRNA	
AC240274.1	
AC208876.2	
BX004987.1	
AC025771.2	
AC025771.1	
5S_rRNA	
LINC02109	
AC208876.1	
LINC01115	
AC112172.1	
OPRL1	KOR-3
OPRL1	NOCIR
OPRL1	NOPr
OPRL1	OOR
OPRL1	ORL1
NPBWR2	GPR8
AC226131.1	
MYT1	MTF1
MYT1	MYTI
MYT1	NZF2
MYT1	PLPB1
MYT1	ZC2H2C1
MYT1	ZC2HC4A
AL121581.1	
PCMTD2	C20orf36
PCMTD2	FLJ10883
Metazoa_SRP	
GEMIN2P1	
Metazoa_SRP	
AC217323.1	
Y_RNA	
INTS3	C1orf60
INTS3	FLJ21919
INTS3	INT3
INTS3	SOSS-A
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
AC245128.8	
LILRP2	CD85m
LILRP2	ILT10
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
AC245128.4	
LILRP2	CD85m
LILRP2	ILT10
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
AC245128.10	
LILRP2	CD85m
LILRP2	ILT10
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
LILRP2	CD85m
LILRP2	ILT10
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
LILRP2	CD85m
LILRP2	ILT10
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
AC245128.11	
AC245128.7	
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
SBNO2	FLJ00173
SBNO2	KIAA0963
SBNO2	Sno
SBNO2	Stno
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
TRAPPC12	CGI-87
TRAPPC12	TTC-15
TRAPPC12	TTC15
LILRP2	CD85m
LILRP2	ILT10
LILRP2	CD85m
LILRP2	ILT10
LILRP2	CD85m
LILRP2	ILT10
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
GU182359.4	
AC245128.9	
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
LILRP2	CD85m
LILRP2	ILT10
GU182359.1	
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
AC245128.5	
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
LILRP2	CD85m
LILRP2	ILT10
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
AC216281.1	
AC245128.14	
AL513523.7	
AC114810.2	
LILRP2	CD85m
LILRP2	ILT10
KIR2DS2	183ActI
KIR2DS2	CD158J
KIR2DS2	cl-49
KIR2DS2	nkat5
AL513523.8	
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
ADI1	APL1
ADI1	ARD
ADI1	FLJ10913
ADI1	HMFT1638
ADI1	MTCBP-1
ADI1	mtnD
ADI1	SIPL
AL513523.9	
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
SLC27A3	ACSVL3
SLC27A3	FATP3
SLC27A3	MGC4365
GU182343.4	
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
AC245128.15	
LILRP2	CD85m
LILRP2	ILT10
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
AL133414.6	
GU182357.2	
GU182357.5	
GU182351.1	
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
GU182343.2	
GU182357.4	
GU182351.4	
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
BX072566.1	
GU182357.1	
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
GU182351.3	
LILRP2	CD85m
LILRP2	ILT10
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
GU182357.3	
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
AC004231.2	
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
KRT12	K12
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KRT20	CK20
KRT20	K20
KRT20	MGC35423
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
KIR2DS2	183ActI
KIR2DS2	CD158J
KIR2DS2	cl-49
KIR2DS2	nkat5
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR2DL2	CD158B1
KIR2DL2	CD158k
KIR2DL2	cl-43
KIR2DL2	nkat6
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
AC245128.6	
GU182351.7	
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
LILRP2	CD85m
LILRP2	ILT10
AC037482.1	
KRT23	CK23
KRT23	DKFZP434G032
KRT23	HAIK1
KRT23	K23
KRT23	MGC26158
KIR2DL5B	KIR2DL5
KIR2DL5B	KIR2DL5.2
KIR2DL5B	KIR2DL5.3
KIR2DL5B	KIR2DL5.4
GU182351.6	
GU182349.2	
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
GU182343.1	
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR2DS3	nkat7
KIR3DL3	CD158Z
KIR3DL3	KIR3DL7
KIR3DL3	KIR44
KIR3DL3	KIRC1
GU182343.3	
GU182339.2	
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
Y_RNA	
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
AL513523.6	
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
GATAD2B	P66beta
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
U6	
GU182360.1	
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
GU182349.1	
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
GU182345.3	
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
GU182345.1	
GU182345.2	
GU182345.4	
GU182351.2	
KIR2DP1	KIR15
KIR2DP1	KIR2DL6
KIR2DP1	KIRY
KIR2DP1	KIRZ
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
AL513523.5	
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR2DL2	CD158B1
KIR2DL2	CD158k
KIR2DL2	cl-43
KIR2DL2	nkat6
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR2DL3	CD158B2
KIR2DL3	cl-6
KIR2DL3	nkat2
KIR2DL3	nkat2a
KIR2DL3	nkat2b
KIR2DL3	p58
AL133414.2	
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
GU182358.1	
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR2DL1	47.11
KIR2DL1	CD158A
KIR2DL1	cl-42
KIR2DL1	nkat1
KIR2DL1	p58.1
GU182359.5	
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
LINC02054	
LINC01839	EIF2B5-IT1
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
GU182343.5	
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KRT39	KA35
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR3DP1	CD158C
KIR3DP1	KIR2DS6
KIR3DP1	KIR3DS2P
KIR3DP1	KIR48
KIR3DP1	KIRX
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KRT40	FLJ36600
KRT40	KA36
GU182338.1	
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR2DL4	103AS
KIR2DL4	15.212
KIR2DL4	CD158D
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
U6	
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KRTAP3-3	KAP3.3
KRTAP3-2	KAP3.2
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR3DS1	nkat10
KRTAP3-4P	KAP3A
KRTAP3-4P	KRTAP3P1
KRTAP3-1	KAP3.1
RNVU1-26	
RNVU1-2A	RNVU1.2a
RNVU1-2A	vU1.2a
U1	
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
AC006359.4	
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KRTAP1-5	KAP1.5
AC006359.3	
KRTAP1-4	KAP1.4
PPIAL4F	
KRTAP1-3	KAP1.3
AC006359.2	
KRTAP1-1	HB2A
KRTAP1-1	KAP1.1
KRTAP1-1	KAP1.1A
KRTAP1-1	KAP1.1B
AL592188.2	
RNA5-8SN5	
AL592188.1	
KRTAP2-1	KAP2.1A
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
5_8S_rRNA	
AC006359.1	
AC037482.2	
GU182359.3	
KRTAP2-3	KAP2.3
GU182359.6	
KRTAP2-4	KAP2.4
GU182359.2	
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
KRTAP2-5P	KAP2A
KRTAP2-5P	KRTAP2P1
AC037482.3	
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
KRTAP4-8	KAP4.8
KRTAP4-8	KRTAP4.8
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
KRTAP4-16	KAP4A
KRTAP4-16	KRTAP4-16P
KRTAP4-16	KRTAP4P1
KRTAP4-9	KAP4.9
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
KRTAP4-11	KAP4.11
KRTAP4-11	KAP4.14
KRTAP4-11	KRTAP4-14
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
KRTAP4-12	KAP4.12
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
AL133414.4	
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
U6	
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
OR9G1	OR9G5
OR9G9	
AP001803.2	
OR9G3P	
OR9G4	
OR9G2P	OR9G6
OR5G1P	OR11-104
OR5G1P	OR5G2P
OR5G1P	OR93
OR5G4P	
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
OR5G5P	
AC010329.3	
AC010329.4	
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
OR5G3	OR5G3P
OR5G3	OR5G6P
LINC02735	
KIR2DL5A	CD158F
KIR2DL5A	KIR2DL5
KIR2DL5A	KIR2DL5.1
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
AC226770.1	
MTDHP4	
ZNF66	FLJ16537
ZNF66	ZNF66P
GU182339.1	
CCNYL6	
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
VN1R84P	
KIR2DS1	CD158H
KIR2DS1	EB6ActI
KIR2DS1	EB6ActII
ZNF100	
BNIP3P24	
AL133414.3	
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
AC008463.2	
AC008463.1	
U6	
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
U6	
FCAR	CD89
BRI3BPP1	
AC092364.3	
AC092364.2	
ZNF43	HTF6
ZNF43	KOX27
ZNF43	ZNF39L1
DNAH10	FLJ43808
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
ZNF85	HPF4
ZNF85	HTF1
KIR3DL1	AMB11
KIR3DL1	CD158E1
KIR3DL1	CD158e1/2
KIR3DL1	CD158e2
KIR3DL1	cl-11
KIR3DL1	cl-2
KIR3DL1	KIR
KIR3DL1	nkat3
KIR3DL1	NKB1
KIR3DL1	NKB1B
U6	
MEIOB	C16orf73
MEIOB	MGC35212
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
GU182351.5	
LINC00254	C16orf32
LINC00254	NCRNA00254
LINC02124	
HS3ST6	HS3ST5
U6	
AL133414.5	
AL133414.1	
KIR2DS4	CD158I
KIR2DS4	cl-39
KIR2DS4	KKA3
KIR2DS4	nkat8
KRTAP9-2	KAP9.2
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
KRTAP9-3	KAP9.3
AC209539.1	
KRTAP9-4	KAP9.4
KRTAP9-9	KAP9.5
KRTAP9-9	KAP9.9
KRTAP9-9	KRTAP9-5
KRTAP9-9	KRTAP9.9
KIR3DL2	CD158K
KIR3DL2	cl-5
KIR3DL2	nkat4
KIR3DL2	nkat4a
KIR3DL2	nkat4b
U6	
AC209539.2	
KRTAP9-10P	
LILRP1	CD85l
LILRP1	ILT9
LILRP1	LILRA6P
KRTAP29-1	KAP29.2
AC245128.13	
SNTG2	G2SYN
SNTG2	SYN5
LILRP2	CD85m
LILRP2	ILT10
SNTG2	G2SYN
SNTG2	SYN5
ARMC4P1	
U6	
AL355493.2	
U6	
FAM210CP	
